representative_exercise_id,source_key,source_name_en,row_status,instruction_alignment_status,training_type_decision,training_type_before,training_type_after,movement_pattern_decision,movement_pattern_before,movement_pattern_after,body_focus_decision,body_focus_before,body_focus_after,primary_body_area_decision,primary_body_area_before,primary_body_area_after,secondary_body_area_decision,secondary_body_area_before,secondary_body_area_after,difficulty_decision,difficulty_before,difficulty_after,equipment_decision,equipment_before,equipment_after,location_decision,location_before,location_after,timing_decision,timing_before,timing_after,instruction_summary_ko,form_cues_ko,review_required,review_required_codes,review_note_ko
REX-000123,gymvisual:1262,cable one arm decline chest fly,CORRECTED_REVIEW_REQUIRED,ALIGNED_AFTER_FIRST_PASS_REFINEMENT,RETAINED,STRENGTH,STRENGTH,RETAINED,ISOLATION,ISOLATION,RETAINED,CHEST,CHEST,RETAINED,"[""CHEST""]","[""CHEST""]",RETAINED,"[""SHOULDER""]","[""SHOULDER""]",CORRECTED,BEGINNER,INTERMEDIATE,RETAINED,"[""CABLE_MACHINE""]","[""CABLE_MACHINE""]",RETAINED,"[""GYM""]","[""GYM""]",RETAINED,REPS,REPS,디클라인 벤치에 누워 낮은 위치의 케이블을 한 손으로 잡고 팔을 가슴 위로 모았다가 천천히 벌립니다.,"[""케이블 머신의 낮은 풀리에 D형 손잡이를 연결하고 벤치를 디클라인으로 조정한다."",""머리가 머신 쪽을 향하도록 벤치에 누워 한 손으로 손잡이를 잡는다."",""팔꿈치를 약간 굽힌 채 손잡이를 가슴 위로 모은다."",""가슴이 늘어나는 범위까지 손잡이를 천천히 되돌린다.""]",True,"[""EXISTING_REVIEW_REQUIRED"",""INSTRUCTION_CONTENT_REVIEW_REQUIRED"",""SOURCE_LICENSE_REVIEW_REQUIRED""]",분류·수행법·장비 필드를 원천과 대조한 1차 결과.
REX-000124,gymvisual:1369,band two legs calf raise - (band under both legs) v. 2,CORRECTED_REVIEW_REQUIRED,ALIGNED_AFTER_FIRST_PASS_REFINEMENT,RETAINED,STRENGTH,STRENGTH,RETAINED,ISOLATION,ISOLATION,RETAINED,CALVES,CALVES,RETAINED,"[""ANKLE_FOOT""]","[""ANKLE_FOOT""]",RETAINED,"[""KNEE""]","[""KNEE""]",RETAINED,BEGINNER,BEGINNER,RETAINED,"[""RESISTANCE_BAND""]","[""RESISTANCE_BAND""]",RETAINED,"[""HOME"",""GYM""]","[""HOME"",""GYM""]",RETAINED,REPS,REPS,저항 밴드를 양발 아래에 두고 양손으로 끝을 잡은 채 두 뒤꿈치를 들어 올렸다가 천천히 내립니다.,"[""저항 밴드를 양발 아래에 두고 양손으로 끝을 잡는다."",""발을 어깨너비로 두고 몸통을 안정적으로 세운다."",""종아리를 사용해 두 뒤꿈치를 가능한 높이까지 들어 올린다."",""정점에서 멈춘 뒤 뒤꿈치를 천천히 내린다.""]",True,"[""EXISTING_REVIEW_REQUIRED"",""INSTRUCTION_CONTENT_REVIEW_REQUIRED"",""SOURCE_LICENSE_REVIEW_REQUIRED""]",분류·수행법·장비 필드를 원천과 대조한 1차 결과.
REX-000125,gymvisual:1386,one leg donkey calf raise,CORRECTED_REVIEW_REQUIRED,ALIGNED_AFTER_FIRST_PASS_REFINEMENT,RETAINED,STRENGTH,STRENGTH,RETAINED,ISOLATION,ISOLATION,RETAINED,CALVES,CALVES,RETAINED,"[""ANKLE_FOOT""]","[""ANKLE_FOOT""]",RETAINED,"[""KNEE""]","[""KNEE""]",CORRECTED,BEGINNER,INTERMEDIATE,RETAINED,"[""BODYWEIGHT""]","[""BODYWEIGHT""]",RETAINED,"[""HOME"",""GYM""]","[""HOME"",""GYM""]",RETAINED,REPS,REPS,안정적인 지지물을 잡고 한쪽 발로 선 뒤 뒤꿈치를 들어 올렸다가 내리고 반대쪽도 반복합니다.,"[""벽이나 바 등 안정적인 지지물을 잡고 한쪽 발을 들어 올린다."",""지지하는 무릎을 약간 굽힌 채 몸통을 세운다."",""지지하는 발의 뒤꿈치를 가능한 높이까지 들어 올린다."",""천천히 내린 뒤 정해진 횟수를 마치고 반대쪽을 진행한다.""]",True,"[""EXISTING_REVIEW_REQUIRED"",""INSTRUCTION_CONTENT_REVIEW_REQUIRED"",""SOURCE_LICENSE_REVIEW_REQUIRED""]",한 발 지지와 균형 요구가 있어 BEGINNER가 아니라 INTERMEDIATE로 정제했다.
REX-000126,gymvisual:1646,dumbbell alternate hammer preacher curl,CORRECTED_REVIEW_REQUIRED,ALIGNED_AFTER_FIRST_PASS_REFINEMENT,RETAINED,STRENGTH,STRENGTH,RETAINED,ISOLATION,ISOLATION,RETAINED,BICEPS,BICEPS,RETAINED,"[""ELBOW""]","[""ELBOW""]",RETAINED,"[""WRIST_HAND""]","[""WRIST_HAND""]",RETAINED,BEGINNER,BEGINNER,RETAINED,"[""DUMBBELL""]","[""DUMBBELL""]",RETAINED,"[""HOME"",""GYM""]","[""HOME"",""GYM""]",RETAINED,REPS,REPS,프리처 벤치에 앉아 덤벨을 잡고 팔꿈치를 고정한 채 팔을 한쪽씩 굽혀 이두근을 수축합니다.,"[""프리처 벤치에 앉아 양손에 덤벨을 들고 팔을 패드 위에 편다."",""위팔을 고정하고 한쪽 덤벨을 어깨 높이까지 천천히 올린다."",""정점에서 이두근을 잠시 수축한 뒤 덤벨을 내린다."",""반대쪽도 같은 방법으로 번갈아 진행한다.""]",True,"[""EXISTING_REVIEW_REQUIRED"",""INSTRUCTION_CONTENT_REVIEW_REQUIRED"",""SOURCE_LICENSE_REVIEW_REQUIRED""]",분류·수행법·장비 필드를 원천과 대조한 1차 결과.
REX-000127,gymvisual:2285,lever pullover,CORRECTED_REVIEW_REQUIRED,ALIGNED_AFTER_FIRST_PASS_REFINEMENT,RETAINED,STRENGTH,STRENGTH,RETAINED,ISOLATION,ISOLATION,RETAINED,BACK,BACK,RETAINED,"[""UPPER_BACK""]","[""UPPER_BACK""]",RETAINED,"[""CHEST"",""ELBOW""]","[""CHEST"",""ELBOW""]",RETAINED,INTERMEDIATE,INTERMEDIATE,RETAINED,"[""MACHINE""]","[""MACHINE""]",RETAINED,"[""GYM""]","[""GYM""]",RETAINED,REPS,REPS,풀오버 머신에 앉아 손잡이를 잡고 팔꿈치를 약간 굽힌 채 손잡이를 가슴 쪽으로 당겼다가 천천히 돌아옵니다.,"[""레버리지 머신의 시트와 손잡이를 편안한 위치로 조정한다."",""등을 패드에 대고 손잡이를 오버핸드 그립으로 잡는다."",""팔꿈치를 약간 굽히고 광배근을 사용해 손잡이를 가슴 쪽으로 당긴다."",""정점에서 잠시 멈춘 뒤 손잡이를 천천히 되돌린다.""]",True,"[""EXISTING_REVIEW_REQUIRED"",""INSTRUCTION_CONTENT_REVIEW_REQUIRED"",""SOURCE_LICENSE_REVIEW_REQUIRED""]",분류·수행법·장비 필드를 원천과 대조한 1차 결과.
REX-000128,gymvisual:2335,lever seated calf press,CORRECTED_REVIEW_REQUIRED,ALIGNED_AFTER_FIRST_PASS_REFINEMENT,RETAINED,STRENGTH,STRENGTH,RETAINED,ISOLATION,ISOLATION,RETAINED,CALVES,CALVES,RETAINED,"[""ANKLE_FOOT""]","[""ANKLE_FOOT""]",RETAINED,"[""KNEE""]","[""KNEE""]",RETAINED,BEGINNER,BEGINNER,RETAINED,"[""MACHINE""]","[""MACHINE""]",RETAINED,"[""GYM""]","[""GYM""]",RETAINED,REPS,REPS,시티드 카프 프레스 머신에 앉아 발 앞꿈치로 플랫폼을 밀어 뒤꿈치를 들어 올렸다가 천천히 내립니다.,"[""어깨가 레버 패드 아래에 오도록 머신 시트를 조정한다."",""발 앞꿈치를 플랫폼 아래쪽에 두고 무릎을 레버 패드 아래에 둔다."",""손잡이를 잡아 몸을 안정시키고 발목을 펴 뒤꿈치를 들어 올린다."",""뒤꿈치를 천천히 내리며 발목 가동 범위 안에서 반복한다.""]",True,"[""EXISTING_REVIEW_REQUIRED"",""INSTRUCTION_CONTENT_REVIEW_REQUIRED"",""SOURCE_LICENSE_REVIEW_REQUIRED""]",분류·수행법·장비 필드를 원천과 대조한 1차 결과.
REX-000129,gymvisual:2400,inverse leg curl (on pull-up cable machine),DELETED_FROM_ACTIVE_CATALOG,DELETED_BY_USER_REQUEST,DELETED,STRENGTH,,DELETED,KNEE_FLEXION,,DELETED,HAMSTRINGS,,DELETED,"[""KNEE""]",,DELETED,"[""HIP""]",,DELETED,BEGINNER,,DELETED,"[""PULL_UP_BAR"",""CABLE_MACHINE"",""MACHINE""]",,DELETED,"[""GYM""]",,DELETED,REPS,,,,False,[],사용자 요청으로 초보자가 수행하기 어려운 변형을 활성 canonical에서 삭제했다.
REX-000130,gymvisual:3007,resistance band leg extension,CORRECTED_REVIEW_REQUIRED,ALIGNED_AFTER_FIRST_PASS_REFINEMENT,RETAINED,STRENGTH,STRENGTH,RETAINED,ISOLATION,ISOLATION,RETAINED,QUADRICEPS,QUADRICEPS,RETAINED,"[""KNEE""]","[""KNEE""]",RETAINED,"[""HIP""]","[""HIP""]",RETAINED,BEGINNER,BEGINNER,RETAINED,"[""RESISTANCE_BAND""]","[""RESISTANCE_BAND""]",RETAINED,"[""HOME"",""GYM""]","[""HOME"",""GYM""]",RETAINED,REPS,REPS,밴드를 발목에 연결하고 고정 지점을 향해 선 뒤 다리를 앞으로 뻗었다가 천천히 되돌립니다.,"[""밴드를 안정적인 고정 지점에 연결하고 발목에 건다."",""고정 지점을 향해 서서 발을 어깨너비로 두고 몸통을 세운다."",""몸통을 고정한 채 한쪽 다리를 앞으로 곧게 뻗는다."",""정점에서 잠시 멈춘 뒤 다리를 천천히 되돌리고 반대쪽을 진행한다.""]",True,"[""EXISTING_REVIEW_REQUIRED"",""INSTRUCTION_CONTENT_REVIEW_REQUIRED"",""SOURCE_LICENSE_REVIEW_REQUIRED""]",분류·수행법·장비 필드를 원천과 대조한 1차 결과.
REX-000131,gymvisual:3010,ez bar lying bent arms pullover,CORRECTED_REVIEW_REQUIRED,ALIGNED_AFTER_FIRST_PASS_REFINEMENT,RETAINED,STRENGTH,STRENGTH,RETAINED,ISOLATION,ISOLATION,RETAINED,BACK,BACK,RETAINED,"[""UPPER_BACK""]","[""UPPER_BACK""]",RETAINED,"[""CHEST"",""ELBOW""]","[""CHEST"",""ELBOW""]",RETAINED,INTERMEDIATE,INTERMEDIATE,CORRECTED,"[""BODYWEIGHT""]","[""EZ_BAR""]",CORRECTED,"[""HOME"",""GYM""]","[""GYM""]",RETAINED,REPS,REPS,벤치에 누워 EZ 바를 가슴 위에서 잡고 팔꿈치를 약간 굽힌 채 바를 머리 뒤로 호를 그리며 내렸다가 돌아옵니다.,"[""플랫 벤치에 누워 발을 바닥에 두고 EZ 바를 어깨너비로 잡는다."",""팔을 가슴 위로 뻗되 팔꿈치를 약간 굽힌다."",""팔꿈치 각도를 유지하며 EZ 바를 머리 뒤로 호를 그려 천천히 내린다."",""반동 없이 같은 호를 따라 바를 시작 위치로 되돌린다.""]",True,"[""EXISTING_REVIEW_REQUIRED"",""INSTRUCTION_CONTENT_REVIEW_REQUIRED"",""SOURCE_LICENSE_REVIEW_REQUIRED""]",분류·수행법·장비 필드를 원천과 대조한 1차 결과.
REX-000132,kspo:ddff78f01b0aa7c568bb66781954f5bbb7a7f882745b3490702d63e6467f924e,의자잡고 후방으로 무릎 굽혀 들기,DELETED_FROM_ACTIVE_CATALOG,DELETED_BY_USER_REQUEST,DELETED,STRENGTH,,DELETED,KNEE_FLEXION,,DELETED,HAMSTRINGS,,DELETED,"[""KNEE""]",,DELETED,"[""HIP""]",,DELETED,BEGINNER,,DELETED,"[""CHAIR""]",,DELETED,"[""GYM""]",,DELETED,REPS,,,,False,[],KSPO 원천은 영상 후보이며 텍스트 단계가 없어 수행 정합성을 확정할 수 없으므로 사용자 요청으로 삭제했다.
REX-000133,wger:1227,Dumbbell rear delt row,CORRECTED_REVIEW_REQUIRED,ALIGNED_AFTER_FIRST_PASS_REFINEMENT,RETAINED,STRENGTH,STRENGTH,RETAINED,HORIZONTAL_PULL,HORIZONTAL_PULL,RETAINED,SHOULDERS,SHOULDERS,CORRECTED,"[""SHOULDER""]","[""SHOULDER"",""UPPER_BACK""]",CORRECTED,"[""UPPER_BACK"",""ELBOW""]","[""ELBOW"",""WRIST_HAND"",""LOWER_BACK""]",CORRECTED,BEGINNER,INTERMEDIATE,RETAINED,"[""DUMBBELL""]","[""DUMBBELL""]",RETAINED,"[""HOME"",""GYM""]","[""HOME"",""GYM""]",RETAINED,REPS,REPS,고관절에서 상체를 기울이고 팔꿈치를 바깥쪽으로 벌리며 덤벨을 몸통 쪽으로 당겼다가 천천히 내립니다.,"[""고관절을 접어 상체를 기울이고 허리의 자연스러운 곡선을 유지한다."",""목을 길게 두고 덤벨을 양손에 잡는다."",""팔꿈치를 과하게 높이지 않으며 덤벨을 몸통 쪽으로 당긴다."",""반동 없이 덤벨을 천천히 내려 시작 위치로 돌아온다.""]",True,"[""EXISTING_REVIEW_REQUIRED"",""INSTRUCTION_CONTENT_REVIEW_REQUIRED"",""SOURCE_LICENSE_REVIEW_REQUIRED""]",wger 원천의 승인된 attribute difficulty가 INTERMEDIATE이므로 기존 BEGINNER를 정제했다.
REX-000134,wger:1283,Incline Chest-Supported Dumbbell Row,CORRECTED_REVIEW_REQUIRED,ALIGNED_AFTER_FIRST_PASS_REFINEMENT,RETAINED,STRENGTH,STRENGTH,RETAINED,HORIZONTAL_PULL,HORIZONTAL_PULL,RETAINED,BACK,BACK,CORRECTED,"[""UPPER_BACK""]","[""UPPER_BACK"",""SHOULDER""]",CORRECTED,"[""ELBOW"",""SHOULDER""]","[""ELBOW"",""CHEST""]",CORRECTED,BEGINNER,INTERMEDIATE,RETAINED,"[""DUMBBELL""]","[""DUMBBELL""]",RETAINED,"[""HOME"",""GYM""]","[""HOME"",""GYM""]",RETAINED,REPS,REPS,30~45도 벤치에 가슴을 대고 엎드려 덤벨을 몸통 옆으로 당겨 올린 뒤 팔이 늘어질 때까지 천천히 내립니다.,"[""벤치를 30~45도로 세우고 가슴을 벤치에 댄다."",""팔꿈치가 몸통에서 과하게 벌어지지 않도록 덤벨을 잡는다."",""어깨를 으쓱하지 않고 등으로 덤벨을 몸통 옆까지 당긴다."",""가슴과 목을 안정적으로 유지하며 덤벨을 천천히 내린다.""]",True,"[""EXISTING_REVIEW_REQUIRED"",""INSTRUCTION_CONTENT_REVIEW_REQUIRED"",""SOURCE_LICENSE_REVIEW_REQUIRED""]",wger 원천의 승인된 attribute difficulty가 INTERMEDIATE이며 chest-supported 정체성을 한국어 명칭에 반영했다.
REX-000135,wger:146,Calf Press Using Leg Press Machine,CORRECTED_REVIEW_REQUIRED,ALIGNED_AFTER_FIRST_PASS_REFINEMENT,RETAINED,STRENGTH,STRENGTH,RETAINED,ISOLATION,ISOLATION,RETAINED,CALVES,CALVES,RETAINED,"[""ANKLE_FOOT""]","[""ANKLE_FOOT""]",RETAINED,"[""KNEE""]","[""KNEE""]",RETAINED,BEGINNER,BEGINNER,RETAINED,"[""MACHINE""]","[""MACHINE""]",RETAINED,"[""GYM""]","[""GYM""]",RETAINED,REPS,REPS,레그프레스 발판에 앞꿈치를 대고 발목을 펴 발판을 밀어 뒤꿈치를 올렸다가 천천히 내립니다.,"[""레그프레스 발판에 발 앞꿈치를 두고 뒤꿈치를 자유롭게 움직일 공간을 둔다."",""발 앞꿈치가 발판에서 떨어지지 않도록 유지한다."",""무릎 각도를 일정하게 두고 발목을 펴 뒤꿈치를 들어 올린다."",""반동 없이 발목 가동 범위 안에서 뒤꿈치를 내린다.""]",True,"[""EXISTING_REVIEW_REQUIRED"",""INSTRUCTION_CONTENT_REVIEW_REQUIRED"",""SOURCE_LICENSE_REVIEW_REQUIRED""]",분류·수행법·장비 필드를 원천과 대조한 1차 결과.
REX-000136,wger:1603,Leg curl with elastic,CORRECTED_REVIEW_REQUIRED,ALIGNED_AFTER_FIRST_PASS_REFINEMENT,RETAINED,STRENGTH,STRENGTH,RETAINED,KNEE_FLEXION,KNEE_FLEXION,RETAINED,HAMSTRINGS,HAMSTRINGS,RETAINED,"[""KNEE""]","[""KNEE""]",RETAINED,"[""HIP""]","[""HIP""]",RETAINED,BEGINNER,BEGINNER,RETAINED,"[""RESISTANCE_BAND""]","[""RESISTANCE_BAND""]",RETAINED,"[""HOME"",""GYM""]","[""HOME"",""GYM""]",RETAINED,REPS,REPS,밴드를 발목에 걸고 허벅지를 고정한 채 무릎을 굽혀 뒤꿈치를 엉덩이 쪽으로 당겼다가 천천히 폅니다.,"[""밴드를 단단한 지점에 고정하고 발목에 건다."",""허벅지와 몸통이 들리지 않도록 위치를 고정한다."",""발목을 과하게 꺾지 않고 무릎을 굽힌다."",""밴드 장력을 유지하며 다리를 천천히 편다.""]",True,"[""EXISTING_REVIEW_REQUIRED"",""INSTRUCTION_CONTENT_REVIEW_REQUIRED"",""SOURCE_LICENSE_REVIEW_REQUIRED""]",분류·수행법·장비 필드를 원천과 대조한 1차 결과.
REX-000137,wger:1706,Bulgarian Squat with Dumbbells,CORRECTED_REVIEW_REQUIRED,ALIGNED_AFTER_FIRST_PASS_REFINEMENT,RETAINED,STRENGTH,STRENGTH,RETAINED,KNEE_DOMINANT,KNEE_DOMINANT,RETAINED,QUADRICEPS,QUADRICEPS,RETAINED,"[""KNEE"",""HIP""]","[""KNEE"",""HIP""]",RETAINED,"[""ANKLE_FOOT""]","[""ANKLE_FOOT""]",RETAINED,INTERMEDIATE,INTERMEDIATE,RETAINED,"[""DUMBBELL""]","[""DUMBBELL""]",CORRECTED,"[""HOME"",""GYM""]","[""GYM""]",RETAINED,REPS,REPS,한 발을 뒤 벤치에 올리고 앞다리에 체중을 두어 몸을 낮췄다가 앞발로 바닥을 밀며 일어납니다.,"[""처음에는 덤벨 없이 균형을 익힌 뒤 양손에 덤벨을 든다."",""한 발을 뒤 벤치에 올리고 앞발을 충분히 앞으로 둔다."",""골반이 한쪽으로 기울지 않게 앞다리 중심으로 몸을 낮춘다."",""앞발로 바닥을 밀어 일어나고 좌우를 같은 횟수로 진행한다.""]",True,"[""EXISTING_REVIEW_REQUIRED"",""INSTRUCTION_CONTENT_REVIEW_REQUIRED"",""SOURCE_LICENSE_REVIEW_REQUIRED""]",뒤 벤치 지지가 필요한 불가리안 스플릿 스쿼트이므로 실제 장소 기본값은 GYM으로 정제하고 BENCH는 setup에 보존했다.
