body_focus_code,default_rest_seconds,default_seconds_per_rep,default_transition_seconds,default_work_seconds,difficulty_code,equipment_codes,family_code,form_cues_ko,form_cues_review_status,form_cues_source,general_pool_included,instruction_content_version,instruction_summary_ko,location_codes,name_en,name_ko,primary_body_area_codes,primary_movement_pattern_code,record_type,recovery_eligible,representative_stable_code,review_status_code,secondary_body_area_codes,safety_relevant_body_area_codes,source_identity,source_track,stable_code,timing_mode_code,training_type_code,met_value,met_source_code,met_source_activity_code,met_mapping_method_code,met_review_status_code,met_policy_version
MOBILITY,30,,15,30,BEGINNER,BODYWEIGHT,SIDE_LYING_QUADRICEPS_STRETCH,골반이 뒤로 넘어가지 않도록 옆으로 누운 자세를 유지합니다|다리를 억지로 끝까지 당기지 않습니다,APPROVED,data/videos/0613-BWnJR72.gif,True,gif-reviewed-natural-language-ko-v2.0.6,1. 옆으로 누워 아래쪽 팔로 머리를 받칩니다 2. 위쪽 다리를 편안한 범위에서 뒤로 움직여 허벅지 뒤쪽의 당김을 느낀 뒤 천천히 돌아옵니다,GYM|HOME,lying (side) quads stretch,옆으로 누워 햄스트링 스트레칭,hamstrings,MOBILITY_STRETCH,REPRESENTATIVE,True,,DOMAIN_APPROVED,,WRIST_HAND|HIP|KNEE|ANKLE_FOOT,0613,gymvisual,side_lying_quadriceps_stretch_mobility_stretch_bodyweight,DURATION,MOBILITY,2.3,ADULT_COMPENDIUM_PDF_2024,02101,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
MOBILITY,30,,15,30,BEGINNER,BODYWEIGHT,SIDE_WRIST_PULL_STRETCH,당김이 느껴지는 편안한 범위까지만 움직입니다|반동으로 늘리지 말고 숨을 편안히 쉬며 자세를 유지합니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 발을 어깨너비로 벌리고 팔을 앞으로 펼쳐 섭니다 2. 오른팔을 옆으로 펴 땅과 평행하게 하고 손바닥은 아래를 향합니다 3. 반대쪽에서 반복합니다,GYM|HOME,side wrist pull stretch,손목 당기기 스트레칭,wrists,MOBILITY_STRETCH,REPRESENTATIVE,True,,DOMAIN_APPROVED,hands,SHOULDER|ELBOW|WRIST_HAND,0721,gymvisual,side_wrist_pull_stretch_mobility_stretch_bodyweight,DURATION,MOBILITY,2.3,ADULT_COMPENDIUM_PDF_2024,02101,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
CALVES,90,4,15,,INTERMEDIATE,MACHINE,CALF_RAISE_REVERSE,발끝과 무릎이 같은 방향을 향하게 합니다|내려올 때 발바닥 전체를 바닥에 안정적으로 둡니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 바를 마주보고 발을 엉덩이너비로 벌려 발끝을 앞쪽을 향하게 섭니다 2. 발의 앞부분을 스텝이나 플랫폼의 가장자리에 올리고 발뒤꿈치를 내리게 합니다 3. 가장 높은 지점에서 잠깐 멈춘 후 발뒤꿈치를 천천히 시작 자세로 내립니다,GYM,smith reverse calf raises,스미스 리버스 카프 레이즈 머신,hamstrings,ISOLATION,REPRESENTATIVE,False,,DOMAIN_APPROVED,,HIP|KNEE|ANKLE_FOOT,0763,gymvisual,smith_reverse_calf_raises_isolation_machine,REPS,STRENGTH,3.5,ADULT_COMPENDIUM_PDF_2024,02054,SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
MOBILITY,30,,15,30,BEGINNER,BODYWEIGHT,SPINE_STRETCH,당김이 느껴지는 편안한 범위까지만 움직입니다|반동으로 늘리지 말고 숨을 편안히 쉬며 자세를 유지합니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 바닥에 앉아서 다리를 앞으로 펼칩니다 2. 복부에 힘을 주고 등을 펴진 상태로 천천히 뒤로 기울입니다 3. 자세를 잠시 유지한 뒤 천천히 시작 자세로 돌아옵니다,GYM|HOME,spine stretch,척추 스트레칭,hamstrings,MOBILITY_STRETCH,REPRESENTATIVE,True,,DOMAIN_APPROVED,glutes,WRIST_HAND|UPPER_BACK|LOWER_BACK|HIP|KNEE|ABDOMEN,1363,gymvisual,spine_stretch_mobility_stretch_bodyweight,DURATION,MOBILITY,2.3,ADULT_COMPENDIUM_PDF_2024,02101,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
MOBILITY,30,,15,30,BEGINNER,BODYWEIGHT,STANDING_LATERAL_STRETCH,당김이 느껴지는 편안한 범위까지만 움직입니다|반동으로 늘리지 말고 숨을 편안히 쉬며 자세를 유지합니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 발을 어깨너비로 벌리고 무릎을 약간 구부린 상태로 서 있습니다 2. 옆구리와 등 근육에 늘어남을 느끼면서 상체를 한쪽 방향으로 천천히 몸을 기울입니다 3. 시작 자세로 돌아와 다른 쪽에서 반복합니다 4. 반대쪽도 같은 순서로 수행합니다,GYM|HOME,standing lateral stretch,서서 옆구리 스트레칭,shoulders,MOBILITY_STRETCH,REPRESENTATIVE,True,,DOMAIN_APPROVED,obliques,UPPER_BACK|LOWER_BACK|HIP|KNEE|ABDOMEN,0794,gymvisual,standing_lateral_stretch_mobility_stretch_bodyweight,DURATION,MOBILITY,2.3,ADULT_COMPENDIUM_PDF_2024,02101,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
MOBILITY,30,,15,30,BEGINNER,BODYWEIGHT,TRICEPS_STRETCH,당김이 느껴지는 편안한 범위까지만 움직입니다|반동으로 늘리지 말고 숨을 편안히 쉬며 자세를 유지합니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 서거나 앉은 상태에서 등을 곧게 펴고 섭니다 2. 한쪽 팔을 머리 위로 쭉 뻗어 팔꿈치를 구부립니다 3. 반대쪽 손을 팔꿈치에 놓고 머리 쪽으로 부드럽게 당깁니다,GYM|HOME,triceps stretch,삼두근 스트레칭,shoulders,MOBILITY_STRETCH,REPRESENTATIVE,True,,DOMAIN_APPROVED,,SHOULDER|ELBOW,0817,gymvisual,triceps_stretch_mobility_stretch_bodyweight,DURATION,MOBILITY,2.3,ADULT_COMPENDIUM_PDF_2024,02101,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
MOBILITY,30,,15,30,BEGINNER,BODYWEIGHT,UPPER_BACK_STRETCH,당김이 느껴지는 편안한 범위까지만 움직입니다|반동으로 늘리지 말고 숨을 편안히 쉬며 자세를 유지합니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 발을 어깨너비만큼 떨어뜨리고 곧게 섭니다 2. 팔을 머리 위로 천천히 들어올립니다 팔은 곧게 유지하고 서로 평행하게 합니다 3. 팔을 올리면서 어깨뼈를 함께 조여줍니다,GYM|HOME,upper back stretch,상부 등 스트레칭,shoulders,MOBILITY_STRETCH,REPRESENTATIVE,True,,DOMAIN_APPROVED,,SHOULDER|WRIST_HAND|UPPER_BACK,1365,gymvisual,upper_back_stretch_mobility_stretch_bodyweight,DURATION,MOBILITY,2.3,ADULT_COMPENDIUM_PDF_2024,02101,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
MOBILITY,30,,15,30,BEGINNER,BODYWEIGHT,WALL_CALF_STRETCH,당김이 느껴지는 편안한 범위까지만 움직입니다|반동으로 늘리지 말고 숨을 편안히 쉬며 자세를 유지합니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 벽을 향해 서서 발을 엉덩이 너비로 떨어뜨립니다 2. 왼쪽 무릎을 구부리고 앞으로 기울어지면서 뒤쪽 다리를 곧게 펴고 발뒤꿈치를 지면에 붙입니다 3. 반대쪽도 같은 순서로 수행합니다,GYM|HOME,calf stretch with hands against wall,벽 짚고 종아리 스트레칭,hamstrings,MOBILITY_STRETCH,REPRESENTATIVE,True,,DOMAIN_APPROVED,,SHOULDER|HIP|KNEE|ANKLE_FOOT,1377,gymvisual,wall_calf_stretch_mobility_stretch_bodyweight,DURATION,MOBILITY,2.3,ADULT_COMPENDIUM_PDF_2024,02101,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
MOBILITY,30,,15,30,BEGINNER,BODYWEIGHT,WORLD_GREATEST_STRETCH,앞무릎이 발끝 안쪽으로 무너지지 않게 합니다|상체를 돌릴 때 허리를 비틀어 반동을 만들지 않습니다,APPROVED,data/videos/1604-DFGXwZr.gif,True,gif-reviewed-natural-language-ko-v2.0.6,1. 한쪽 발을 앞으로 크게 내디뎌 런지 자세를 만들고 양손을 앞발 안쪽 바닥에 둡니다 2. 한 손을 들어 상체를 회전한 뒤 손을 바닥으로 돌리고 반대쪽도 수행합니다,GYM|HOME,world greatest stretch,런지 스트레칭,glutes,MOBILITY_STRETCH,REPRESENTATIVE,True,,DOMAIN_APPROVED,quadriceps|calves,SHOULDER|WRIST_HAND|UPPER_BACK|LOWER_BACK|HIP|KNEE|ANKLE_FOOT|ABDOMEN,1604,gymvisual,world_greatest_stretch_mobility_stretch_bodyweight,DURATION,MOBILITY,2.3,ADULT_COMPENDIUM_PDF_2024,02101,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
MOBILITY,30,,15,30,BEGINNER,BODYWEIGHT,WRIST_CIRCLES,당김이 느껴지는 편안한 범위까지만 움직입니다|반동으로 늘리지 말고 숨을 편안히 쉬며 자세를 유지합니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 팔을 앞으로 곧게 뻗습니다 2. 팔을 고정하고 손목을 원형 운동으로 회전합니다,GYM|HOME,wrist circles,손목 돌리기,hands,MOBILITY_STRETCH,REPRESENTATIVE,True,,DOMAIN_APPROVED,wrists,SHOULDER|ELBOW|WRIST_HAND,1428,gymvisual,wrist_circles_mobility_stretch_bodyweight,DURATION,MOBILITY,2.3,ADULT_COMPENDIUM_PDF_2024,02101,DIRECT,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
FOREARMS,60,4,15,,BEGINNER,BARBELL,WRIST_CURL,어깨가 귀 쪽으로 올라가지 않게 합니다|몸을 흔들어 반동을 만들지 말고 천천히 당깁니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 벤치에 앉아 발을 땅에 디디고 팔뚝을 허벅지 위에 올린 상태에서 손바닥이 위를 향하도록 바벨을 잡습니다 2. 손목을 굽혀 바벨을 팔뚝 쪽으로 천천히 들어올립니다 3. 가장 높은 지점에서 잠깐 멈춘 후 천천히 바벨을 시작 자세로 내립니다,GYM,barbell wrist curl,바벨 리스트 컬,biceps,ISOLATION,REPRESENTATIVE,False,,DOMAIN_APPROVED,brachialis,ELBOW|WRIST_HAND,0126,gymvisual,wrist_curl_isolation_barbell,REPS,STRENGTH,3.5,ADULT_COMPENDIUM_PDF_2024,02054,SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
CORE,60,4,15,,BEGINNER,BODYWEIGHT,45_DEGREE_SIDE_BEND,목과 허리를 과하게 꺾지 말고 편안한 자세를 유지합니다|반동을 쓰지 말고 천천히 움직입니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 발을 어깨 넓이로 벌리고 팔을 양쪽에 내려 펼칩니다 2. 등을 곧게 펴고 복근을 긴장시킨 상태에서 천천히 몸통을 한쪽으로 구부려 손을 무릎 쪽으로 내립니다 3. 맨 아래에서 잠깐 멈췄다가 천천히 시작 자세로 돌아옵니다,GYM,45° side bend,45도 사이드 벤드,obliques,CORE_BRACE,REPRESENTATIVE,,,DOMAIN_APPROVED,,UPPER_BACK|LOWER_BACK|KNEE|ABDOMEN,0002,gymvisual,45_degree_side_bend,REPS,STRENGTH,3.0,ADULT_COMPENDIUM_PDF_2024,02056,SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
CORE,60,4,15,,BEGINNER,BODYWEIGHT,ALTERNATE_HEEL_TOUCHERS,목을 손으로 당기지 않고 시선은 위쪽에 둡니다|어깨를 바닥에서 과하게 들어 올리지 않습니다,APPROVED,data/videos/0006-qaZVsGk.gif,True,gif-reviewed-natural-language-ko-v2.0.6,1. 무릎을 굽혀 바닥에 누워 팔을 몸 옆에 둡니다 2. 상체를 살짝 들어 한쪽 손으로 같은 쪽 발뒤꿈치를 향해 움직인 뒤 반대쪽으로 번갈아 반복합니다,GYM|HOME,alternate heel touchers,좌우 발뒤꿈치 터치,obliques,ISOLATION,REPRESENTATIVE,,,DOMAIN_APPROVED,,SHOULDER|UPPER_BACK|LOWER_BACK|KNEE|ANKLE_FOOT|ABDOMEN,0006,gymvisual,alternate_heel_touchers,REPS,STRENGTH,3.0,ADULT_COMPENDIUM_PDF_2024,02056,SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
BACK,90,4,15,,INTERMEDIATE,CABLE_MACHINE,LAT_PULLDOWN,당길 때 몸통을 뒤로 과하게 젖히지 않습니다|무게가 올라갈 때 어깨가 으쓱하지 않게 합니다,APPROVED,data/videos/0007-4IKbhHV.gif,True,gif-reviewed-natural-language-ko-v2.0.6,1. 케이블 머신에 앉아 한 손으로 손잡이를 잡고 팔을 위로 뻗습니다 2. 팔꿈치를 옆구리 쪽으로 당겼다가 천천히 올리며 반대쪽도 동일하게 수행합니다,GYM,alternate lateral pulldown,좌우 레터럴 풀다운,biceps,VERTICAL_PULL,REPRESENTATIVE,,,DOMAIN_APPROVED,rhomboids,SHOULDER|ELBOW|WRIST_HAND|UPPER_BACK|LOWER_BACK,0007,gymvisual,alternate_lateral_pulldown,REPS,STRENGTH,3.5,ADULT_COMPENDIUM_PDF_2024,02054,SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
BACK,60,4,15,,BEGINNER,MACHINE,PULL_UP,발판이나 무릎 패드에 올라갈 때 기구가 흔들리지 않게 합니다|반동으로 몸을 올리지 않고 내려올 때도 천천히 통제합니다,APPROVED,data/videos/0017-kiJ4Z2K.gif,True,gif-reviewed-natural-language-ko-v2.0.6,1. 보조 풀업 머신의 발판이나 무릎 패드에 올라가 바를 잡습니다 2. 팔꿈치를 아래로 당겨 몸을 들어 올린 뒤 천천히 팔을 펴 시작 자세로 돌아옵니다,GYM,assisted pull-up,어시스트 풀업,biceps,VERTICAL_PULL,REPRESENTATIVE,,,DOMAIN_APPROVED,forearms,ELBOW|WRIST_HAND|UPPER_BACK,0017,gymvisual,assisted_pull_up,REPS,STRENGTH,3.5,ADULT_COMPENDIUM_PDF_2024,02054,SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
TRICEPS,60,4,15,,BEGINNER,MACHINE,DIP,어깨가 앞으로 과하게 말리지 않도록 가슴을 편안히 세웁니다|팔꿈치를 갑자기 잠그지 않고 부드럽게 폅니다,APPROVED,data/videos/0019-J60bN17.gif,True,gif-reviewed-natural-language-ko-v2.0.6,1. 보조 딥스 머신의 무릎 패드에 올라가 손잡이를 잡습니다 2. 팔꿈치를 굽혀 몸을 내렸다가 손잡이를 밀어 팔을 펴며 시작 자세로 돌아옵니다,GYM,assisted triceps dip (kneeling),어시스트 딥스,chest,HORIZONTAL_PUSH,REPRESENTATIVE,,,DOMAIN_APPROVED,shoulders,SHOULDER|ELBOW|WRIST_HAND|UPPER_BACK|KNEE|CHEST,0019,gymvisual,assisted_triceps_dip_kneeling,REPS,STRENGTH,3.5,ADULT_COMPENDIUM_PDF_2024,02054,SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
BACK,90,4,15,,INTERMEDIATE,BARBELL,BARBELL_PULLOVER_TO_PRESS,팔꿈치와 손목을 과하게 꺾지 않게 합니다|몸통을 흔들어 반동을 만들지 말고 천천히 밀고 돌아옵니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 벤치 위에 누워 머리는 한쪽 끝에 발은 바닥에 놓습니다 2. 팔을 곧게 펴면서 바벨을 호 모양으로 머리 뒤로 내리되 등이 당기는 느낌이 들 때까지 내립니다 3. 잠깐 멈춘 후 동작을 역으로 하여 바벨을 가슴 위의 시작 자세로 밀어올립니다 4. 반대쪽도 같은 순서로 수행합니다,GYM,barbell pullover to press,바벨 풀오버 투 프레스,triceps,ISOLATION,REPRESENTATIVE,,,DOMAIN_APPROVED,chest|shoulders,SHOULDER|ELBOW|WRIST_HAND|UPPER_BACK|CHEST,0022,gymvisual,barbell_pullover_to_press,REPS,STRENGTH,3.5,ADULT_COMPENDIUM_PDF_2024,02054,SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
QUADRICEPS,90,4,15,,INTERMEDIATE,BARBELL,SQUAT,무릎이 발끝과 같은 방향을 향하게 하고 안쪽으로 무너지지 않게 합니다|발바닥 전체로 바닥을 밀어 몸을 일으킵니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 랙에서 등을 돌려 어깨 너비로 발을 벌리고 섭니다 2. 무릎을 구부려 몸을 스쿼트 자세로 내리되 등을 곧게 펴고 가슴을 들어 올립니다 3. 맨 아래에서 잠시 멈춘 후 발꿈치를 통해 밀어 시작 자세로 돌아옵니다,GYM,barbell bench squat,바벨 벤치 스쿼트,glutes,KNEE_DOMINANT,VARIANT,,bodyweight_squat,DOMAIN_APPROVED,hamstrings|calves,WRIST_HAND|UPPER_BACK|LOWER_BACK|HIP|KNEE|ANKLE_FOOT|CHEST,0026,gymvisual,barbell_bench_squat,REPS,STRENGTH,5.0,ADULT_COMPENDIUM_PDF_2024,02052,SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
BACK,90,4,15,,INTERMEDIATE,BARBELL,BENT_OVER_ROW,어깨가 귀 쪽으로 올라가지 않게 합니다|몸을 흔들어 반동을 만들지 말고 천천히 당깁니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 발을 어깨넓이로 벌리고 무릎을 약간 구부린 상태로 섭니다 2. 어깨뼈를 뒤로 당기면서 등 근육을 수축시켜 바벨을 아래 가슴 쪽으로 당깁니다 3. 가장 높은 지점에서 잠시 멈춘 후 천천히 바벨을 시작 자세로 내립니다,GYM,barbell bent over row,바벨 벤트오버 로우,biceps,HORIZONTAL_PULL,VARIANT,,dumbbell_bent_over_row,DOMAIN_APPROVED,forearms,SHOULDER|ELBOW|WRIST_HAND|UPPER_BACK|LOWER_BACK|KNEE|CHEST,0027,gymvisual,barbell_bent_over_row,REPS,STRENGTH,3.5,ADULT_COMPENDIUM_PDF_2024,02054,SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
BICEPS,60,4,15,,BEGINNER,BARBELL,BICEPS_CURL,어깨가 귀 쪽으로 올라가지 않게 합니다|몸을 흔들어 반동을 만들지 말고 천천히 당깁니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 발을 어깨넓이로 벌리고 서서 손가락이 앞을 향하도록 바벨을 잡고 손바닥이 앞을 향하게 합니다 2. 이두근이 완전히 수축되어 바벨이 어깨 높이에 올 때까지 계속 올립니다 3. 천천히 바벨을 시작 자세로 내립니다,GYM,barbell curl,바벨 컬,forearms,ISOLATION,VARIANT,,dumbbell_standing_curl_isolation_dumbbell,DOMAIN_APPROVED,,SHOULDER|ELBOW|WRIST_HAND,0031,gymvisual,barbell_curl,REPS,STRENGTH,3.5,ADULT_COMPENDIUM_PDF_2024,02054,SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
BACK,90,4,15,,INTERMEDIATE,BARBELL,BARBELL_DECLINE_BENT_ARM_PULLOVER,어깨가 귀 쪽으로 올라가지 않게 합니다|몸을 흔들어 반동을 만들지 말고 천천히 당깁니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 머리가 허리보다 아래에 위치하도록 하강 벤치에 누우면서 발을 고정합니다 2. 팔을 약간 구부린 상태로 제어된 동작으로 바벨을 머리 뒤로 내립니다 3. 잠시 멈춘 후 광배근을 수축시키면서 바벨을 시작 자세로 올립니다,GYM,barbell decline bent arm pullover,바벨 디클라인 벤트암 풀오버,triceps,ISOLATION,REPRESENTATIVE,,,DOMAIN_APPROVED,chest,ELBOW|WRIST_HAND|UPPER_BACK|LOWER_BACK|CHEST|ABDOMEN,0034,gymvisual,barbell_decline_bent_arm_pullover,REPS,STRENGTH,3.5,ADULT_COMPENDIUM_PDF_2024,02054,SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
TRICEPS,90,4,15,,INTERMEDIATE,BARBELL,BARBELL_DECLINE_CLOSE_GRIP_TO_SKULL_PRESS,팔꿈치와 손목을 과하게 꺾지 않게 합니다|몸통을 흔들어 반동을 만들지 말고 천천히 밀고 돌아옵니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 머리가 발보다 아래에 위치하도록 하강 벤치에 누워 좁은 그립으로 바벨을 잡습니다 2. 팔꿈치를 구부려 바벨을 이마 쪽으로 내리면서 상박을 고정된 상태로 유지합니다 3. 잠시 멈춘 후 팔을 펼쳐 바벨을 시작 자세로 올립니다,GYM,barbell decline close grip to skull press,바벨 디클라인 클로즈그립 스컬 프레스,chest,ISOLATION,REPRESENTATIVE,,,DOMAIN_APPROVED,shoulders,SHOULDER|ELBOW|WRIST_HAND|CHEST,0035,gymvisual,barbell_decline_close_grip_to_skull_press,REPS,STRENGTH,3.5,ADULT_COMPENDIUM_PDF_2024,02054,SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
GLUTES,90,4,15,,INTERMEDIATE,BARBELL,SQUAT,무릎이 발끝과 같은 방향을 향하게 하고 안쪽으로 무너지지 않게 합니다|발바닥 전체로 바닥을 밀어 몸을 일으킵니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 발을 어깨넓이로 벌리고 발가락을 약간 바깥쪽으로 향하게 섭니다 2. 무릎과 허리를 구부려 의자에 앉는 것처럼 허리를 뒤로 내립니다 3. 넓적다리가 바닥과 평행하거나 약간 아래까지 내려갑니다,GYM,barbell full squat,바벨 풀 스쿼트,quadriceps,KNEE_DOMINANT,VARIANT,,bodyweight_squat,DOMAIN_APPROVED,hamstrings|calves|core,LOWER_BACK|HIP|KNEE|ANKLE_FOOT|CHEST|ABDOMEN,0043,gymvisual,barbell_full_squat,REPS,STRENGTH,5.0,ADULT_COMPENDIUM_PDF_2024,02052,SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
HAMSTRINGS,90,4,15,,INTERMEDIATE,BARBELL,GOOD_MORNING,허리를 둥글게 말지 말고 배 주변에 가볍게 힘을 줍니다|발바닥 전체로 바닥을 누르며 엉덩이 움직임을 만듭니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 양발을 어깨너비로 벌리고 서서 바벨을 상부 등 위에 올립니다 2. 몸통이 바닥과 평행할 때까지 내려가며 허벅지 뒤쪽이 늘어나는 느낌이 들도록 합니다 3. 잠깐 멈춘 후 둔근을 조이고 엉덩이를 앞으로 밀어 시작 자세로 돌아옵니다,GYM,barbell good morning,바벨 굿모닝,lower back,HIP_DOMINANT,VARIANT,,smith_bent_knee_good_morning,DOMAIN_APPROVED,,UPPER_BACK|LOWER_BACK|HIP|KNEE|ABDOMEN,0044,gymvisual,barbell_good_morning,REPS,STRENGTH,5.0,ADULT_COMPENDIUM_PDF_2024,02052,SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
CHEST,90,4,15,,INTERMEDIATE,BARBELL,CHEST_PRESS,팔꿈치와 손목을 과하게 꺾지 않게 합니다|몸통을 흔들어 반동을 만들지 말고 천천히 밀고 돌아옵니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 벤치에 누워 양발을 바닥에 놓습니다 2. 바벨을 랙에서 꺼내 천천히 가슴 쪽으로 내리면서 팔꿈치를 45도 각도로 유지합니다 3. 하단에서 잠깐 멈춘 후 바벨을 시작 자세로 밀어 올립니다,GYM,barbell incline bench press,바벨 인클라인 벤치 프레스,shoulders,HORIZONTAL_PUSH,VARIANT,,smith_bench_press,DOMAIN_APPROVED,triceps,SHOULDER|ELBOW|WRIST_HAND|CHEST,0047,gymvisual,barbell_incline_bench_press,REPS,STRENGTH,3.5,ADULT_COMPENDIUM_PDF_2024,02054,SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
BACK,90,4,15,,INTERMEDIATE,BARBELL,INCLINE_ROW,어깨가 귀 쪽으로 올라가지 않게 합니다|몸을 흔들어 반동을 만들지 말고 천천히 당깁니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 벤치에 엎드려 가슴이 패드에 닿게 하고 양발을 바닥에 놓습니다 2. 바벨을 가슴 쪽으로 당기면서 어깨 날개뼈를 모아줍니다 3. 가장 높은 지점에서 잠깐 멈춘 후 바벨을 천천히 시작 자세로 내립니다,GYM,barbell incline row,바벨 인클라인 로우,biceps,HORIZONTAL_PULL,VARIANT,,dumbbell_incline_row,DOMAIN_APPROVED,forearms,SHOULDER|ELBOW|WRIST_HAND|UPPER_BACK|LOWER_BACK|CHEST|ABDOMEN,0049,gymvisual,barbell_incline_row,REPS,STRENGTH,3.5,ADULT_COMPENDIUM_PDF_2024,02054,SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
GLUTES,90,4,15,,INTERMEDIATE,BARBELL,JUMP_SQUAT,무릎이 발끝과 같은 방향을 향하게 하고 안쪽으로 무너지지 않게 합니다|발바닥 전체로 바닥을 밀어 몸을 일으킵니다,APPROVED,data/scripts/normalize_v2_0_6_form_cues.py,True,user-natural-language-ko-v2.0.6,1. 양발을 어깨너비로 벌리고 서서 바벨을 상부 등에 올립니다 2. 무릎을 굽히고 엉덩이를 뒤로 밀어 스쿼트 자세로 내려갑니다 3. 스쿼트의 최하단에 도달하면 즉시 지면을 밀어내며 힘껏 점프합니다,GYM,barbell jump squat,바벨 점프 스쿼트,quadriceps,JUMP_PLYOMETRIC,VARIANT,,jump_squat,DOMAIN_APPROVED,hamstrings|calves,UPPER_BACK|LOWER_BACK|HIP|KNEE|ANKLE_FOOT,0053,gymvisual,barbell_jump_squat,REPS,STRENGTH,5.0,ADULT_COMPENDIUM_PDF_2024,02052,SIMILAR_ACTIVITY,DOMAIN_APPROVED,v2.0.6-met-compendium-direct-similar-1.0.0
